Name;Longitude;Latitude
Padules;-2.773482;36.99884
Partaloa;-2.226434;37.40604
Paterna del Río;-2.953087;37.02088
Pechina;-2.440625;36.91667
Pulpí;-1.745502;37.41183
Purchena;-2.36155;37.34855
Rágol;-2.680989;36.99564
Rioja;-2.462424;36.94406
Roquetas de Mar;-2.614935;36.76427
Santa Cruz de Marchena;-2.603768;37.0172
Santa Fe de Mondújar;-2.530279;36.97506
Senés;-2.347544;37.20457
Serón;-2.508077;37.34361
Sierro;-2.398526;37.32348
Somontín;-2.389127;37.39139
Sorbas;-2.126351;37.09841
Suflí;-2.389523;37.3382
Tabernas;-2.392681;37.04945
Taberno;-2.076205;37.46729
Tahal;-2.28497;37.22803
Terque;-2.597233;36.98359
Tíjola;-2.439434;37.34551
Tres Villas (Las);-2.7;37.13334
Turre;-1.894899;37.15225
Turrillas;-2.264096;37.03019
Uleila del Campo;-2.203801;37.18548
Urrácal;-2.36507;37.39732
Velefique;-2.403687;37.19375
Vélez-Blanco;-2.095682;37.69095
Vélez-Rubio;-2.074232;37.64802
Vera;-1.868238;37.24686
Viator;-2.426541;36.88963
Vícar;-2.642515;36.83145
Zurgena;-2.039607;37.34265
Alcalá de los Gazules;-5.723718;36.46045
Alcalá del Valle;-5.173237;36.90491
Algar;-5.657418;36.65533
Algeciras;-5.447698;36.12978
Algodonales;-5.405773;36.88092
Arcos de la Frontera;-5.812395;36.75078
Barbate;-5.918903;36.19282
Barrios (Los);-5.492747;36.18539
Benalup-Casas Viejas;-5.8094;36.34284
Benaocaz;-5.421263;36.69952
Bornos;-5.743362;36.81459
Bosque (El);-5.506988;36.75752
Cádiz;-6.292657;36.52969
Castellar de la Frontera;-5.419937;36.28621
Chiclana de la Frontera;-6.149412;36.41915
Chipiona;-6.43587;36.7408
Conil de la Frontera;-6.088436;36.27675
Espera;-5.806213;36.87319
Gastor (El);-5.323623;36.85509
Grazalema;-5.366071;36.75837
Jerez de la Frontera;-6.137173;36.68656
Jimena de la Frontera;-5.453479;36.43404
Línea de la Concepción (La);-5.348256;36.16118
Medina-Sidonia;-5.927894;36.46768
Olvera;-5.267688;36.93525
Paterna de Rivera;-5.866053;36.52333
Prado del Rey;-5.555545;36.78968
Puerto de Santa María (El);-6.227526;36.59695
Puerto Real;-6.191895;36.52912
Puerto Serrano;-5.545621;36.92159
Rota;-6.358202;36.61699
San Fernando;-6.196626;36.46572
San José del Valle;-5.798952;36.60554
San Roque;-5.384572;36.20975
Sanlúcar de Barrameda;-6.354198;36.77882
Setenil de las Bodegas;-5.181413;36.86406
Tarifa;-5.602954;36.01271
Torre Alháquime;-5.234736;36.91553
Trebujena;-6.176695;36.86951
Ubrique;-5.446557;36.67771
Vejer de la Frontera;-5.962856;36.25331
Villaluenga del Rosario;-5.388137;36.69587
Villamartín;-5.641834;36.86132
Zahara;-5.390547;36.84053
Adamuz;-4.524873;38.02736
Aguilar de la Frontera;-4.656057;37.51503
Alcaracejos;-4.967684;38.38823
Almedinilla;-4.091205;37.439
Almodóvar del Río;-5.019958;37.80959
Añora;-4.897461;38.41099
Baena;-4.326089;37.61441
Belalcázar;-5.167119;38.57843
Belmez;-5.208753;38.27234
Benamejí;-4.540418;37.26732
Blázquez (Los);-5.438988;38.4065
Bujalance;-4.383588;37.89657
Cabra;-4.425931;37.47437
Cañete de las Torres;-4.318819;37.86741
Carcabuey;-4.273436;37.44359
Cardeña;-4.32373;38.27047
Carlota (La);-4.932553;37.67361
Carpio (El);-4.498775;37.94054
Castro del Río;-4.481579;37.68864
Conquista;-4.500968;38.40844
Córdoba;-4.779152;37.88473
Doña Mencía;-4.357603;37.55457
Dos Torres;-4.894932;38.44524
Encinas Reales;-4.489717;37.27488
Espejo;-4.552363;37.68211
Espiel;-5.018202;38.18865
Fernán-Núñez;-4.723994;37.67226
Fuente-Tójar;-4.148019;37.51163
Fuente la Lancha;-5.048906;38.42257
Fuente Obejuna;-5.419834;38.26675
Fuente Palmera;-5.103904;37.70319
Granjuela (La);-5.351436;38.3711
